period,crea_period,thermal_gw,thermal_yoy_pct,nuclear_gw,nuclear_yoy_pct,hydro_gw,hydro_yoy_pct,wind_gw,wind_yoy_pct,solar_gw,solar_yoy_pct,total_gw,total_yoy_pct,thermal_ytd_gw,thermal_ytd_yoy_pct,nuclear_ytd_gw,nuclear_ytd_yoy_pct,hydro_ytd_gw,hydro_ytd_yoy_pct,wind_ytd_gw,wind_ytd_yoy_pct,solar_ytd_gw,solar_ytd_yoy_pct,total_ytd_gw,total_ytd_yoy_pct
202601,202601,20.0,414.0,1.2,,1.2,-36.0,11.0,19.0,32.5,-18.0,65.9,,20.0,414.0,1.2,,1.2,-36.0,11.0,19.0,32.5,-18.0,65.9,
202603,202603,4.0,-26.0,0.0,0.0,0.22,0.0,4.8,-9.0,8.9,-56.0,17.92,-42.4,24.0,160.0,1.2,,1.4,-33.0,15.8,8.0,41.4,-31.0,83.8,
202604,202604,4.0,8.0,2.4,,1.25,140.0,5.5,2.0,9.5,-79.0,22.65,,28.0,116.0,3.6,,2.45,-7.5,21.3,6.5,50.9,-52.0,106.25,
202605,202605,4.4,-4.0,0.0,,1.6,,3.8,-85.0,8.7,-91.0,18.5,,32.4,84.0,3.6,,4.1,24.0,25.0,-46.0,59.6,-70.0,124.7,
202606,202606,6.0,-27.0,0.0,0.0,1.9,205.0,13.6,153.0,12.5,-12.0,34.0,19.6,38.4,49.0,3.6,,6.0,53.0,38.6,-25.0,72.1,-66.0,158.7,-45.9
